smiles,source
CNCc1cc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)on1,derivative
CNCc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CNCc1ccc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)cc1,derivative
CNCc1ccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cc1,derivative
CN[C@H](C)CNc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CN[C@H](C)CNc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CN[C@H](C)COc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CNc1c(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)cccc1N(C)C,derivative
CNc1c(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)cccc1N1CCOC[C@H]1C,derivative
CNc1c(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cccc1N(C)C,derivative
CNc1c(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cccc1N1CCOC[C@H]1C,derivative
CNc1c(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cccc1[C@]1(O)C[C@H]2CC[C@@H](C1)O2,derivative
CNc1c(-c2cncc3[nH]ccc23)cccc1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CNc1c(OC)cccc1-c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CNc1c(OC)cccc1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(-c3ccc(S(=O)(=O)C(C)C)cc3)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(-c3ccc(S(=O)(=O)C(C)C)cc3)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(-c3ccc(S(=O)(=O)C(C)C)cc3)cccc2N2CCOC[C@H]2C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(-c3ccc(S(=O)(=O)C(C)C)cc3)cccc2N2CCOC[C@H]2C)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(-c3cnc(C#N)cn3)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(-c3cnc(C#N)cn3)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,derivative
